epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,1568.67,0.73608,0.91447,1.00963,1,0.51093,0.58552,0.42627,0.95029,1.42126,0.98643,0.0002774,0.0002774,0.0002774
89,1584.33,0.66565,0.9997,0.91881,0.88031,0.61518,0.63763,0.44899,0.95312,1.43962,0.99232,0.0002576,0.0002576,0.0002576
90,1601.35,0.65987,0.82811,0.9144,0.97658,0.66667,0.85478,0.6296,0.95924,1.4745,0.99707,0.0002378,0.0002378,0.0002378
91,1616.11,0.61357,0.99225,0.90379,0.82908,0.80996,0.85287,0.62424,0.9744,1.53695,1.01057,0.000218,0.000218,0.000218
92,1627.49,0.53708,0.97963,0.84559,0.81798,0.74909,0.84519,0.63551,1.00663,1.62628,1.02829,0.0001982,0.0001982,0.0001982
93,1641.08,0.64009,0.98427,0.91193,0.81806,0.74943,0.82942,0.61632,1.01508,1.70641,1.04091,0.0001784,0.0001784,0.0001784
94,1654.8,0.64721,0.96435,0.92246,0.81676,0.74347,0.8371,0.60457,1.02326,1.77193,1.05325,0.0001586,0.0001586,0.0001586
95,1670.41,0.60855,0.91392,0.90224,0.76785,0.75,0.82754,0.60065,1.02627,1.75034,1.0639,0.0001388,0.0001388,0.0001388
96,1685.1,0.60926,0.98256,0.91552,0.77961,0.75,0.81569,0.59111,1.01892,1.74439,1.06091,0.000119,0.000119,0.000119
97,1698.97,0.64386,0.999,0.92623,0.7179,0.75,0.81569,0.59022,1.01356,1.73495,1.06866,9.92e-05,9.92e-05,9.92e-05
98,1715.54,0.53519,0.96085,0.88514,0.76602,0.81942,0.82575,0.60443,0.99346,1.71844,1.06454,7.94e-05,7.94e-05,7.94e-05
99,1728.54,0.59865,0.94068,0.95675,0.69806,0.83333,0.83394,0.60101,0.99103,1.68931,1.06661,5.96e-05,5.96e-05,5.96e-05
100,1740.98,0.59691,1.0335,0.9265,0.70608,0.83333,0.82404,0.59784,0.9997,1.64058,1.08365,3.98e-05,3.98e-05,3.98e-05
